status/scripts,REPORTID,USERID,REPORTTYPEID,ADDEDBY,HOSTID,LATITUDE,LONGITUDE,RADIUSIMPACT,DESCRIPTION,PRICE,REPORTSTATUSID,DATE,TIME,CREATEDTIME,LASTMODIFIEDTIME,ADDRESS,TOTALNUMBERINJURED,TOTALNUMBERKILLED,VEHICLETYPECODE
,,,,,,5208732.15296,-7910572.43766,,,,,2016-01-01,02:36:37,,,,,,
,,,,,,5203023.23632,-7912769.09751,,,,,2016-01-01,04:07:00,,,,,,
,,,,,,5210924.29623,-7911712.67505,,,,,2016-01-01,04:13:50,,,,,,
,,,,,,5207733.60732,-7911502.36108,,,,,2016-01-01,05:09:03,,,,,,
,,,,,,5204886.86142,-7916797.09353,,,,,2016-01-01,06:02:48,,,,,,
,,,,,,5203956.1726,-7910826.31678,,,,,2016-01-01,07:52:15,,,,,,
,,,,,,5213865.52531,-7922841.19701,,,,,2016-01-01,06:23:29,,,,,,
,,,,,,5207477.09355,-7911833.28358,,,,,2016-01-01,10:07:09,,,,,,
,,,,,,5207681.10145,-7910265.51748,,,,,2016-01-01,10:59:20,,,,,,
,,,,,,5201693.26764,-7918390.74743,,,,,2016-01-02,11:18:00,,,,,,
,,,,,,5201693.26764,-7918390.74743,,,,,2016-01-02,11:29:00,,,,,,
,,,,,,5204246.36888,-7912265.48417,,,,,2016-01-02,11:38:00,,,,,,
,,,,,,5203229.3673,-7910377.95229,,,,,2016-01-02,01:40:00,,,,,,
,,,,,,5205288.49963,-7911736.03262,,,,,2016-01-02,02:21:00,,,,,,
,,,,,,5218261.97813,-7906211.25241,,,,,2016-01-02,07:30:00,,,,,,
,,,,,,5203793.70812,-7916920.97772,,,,,2016-01-02,08:07:00,,,,,,
,,,,,,5208229.74164,-7913487.04589,,,,,2016-01-02,08:05:00,,,,,,
,,,,,,5214665.86516,-7917943.08276,,,,,2016-01-03,02:27:00,,,,,,
,,,,,,5206788.12651,-7912601.76769,,,,,2016-01-03,03:30:00,,,,,,
,,,,,,5207510.34767,-7913941.61364,,,,,2016-01-03,04:39:00,,,,,,
,,,,,,5214416.8517,-7911753.86002,,,,,2016-01-03,04:59:00,,,,,,
,,,,,,5213924.27227,-7921437.56635,,,,,2016-01-03,07:07:00,,,,,,
,,,,,,5215745.57386,-7906111.89292,,,,,2016-01-04,12:49:00,,,,,,
,,,,,,5214770.86239,-7909435.84992,,,,,2016-01-04,09:37:00,,,,,,
,,,,,,5207736.7974,-7912769.09963,,,,,2016-01-04,06:50:00,,,,,,
,,,,,,5211282.84207,-7913530.96903,,,,,2016-01-04,09:21:00,,,,,,
,,,,,,5215464.96812,-7905757.62295,,,,,2016-01-04,11:46:00,,,,,,
,,,,,,5217307.67495,-7911363.25576,,,,,2016-01-05,05:51:00,,,,,,
